value,name
http://dbpedia.org/resource/Kathleen_Flinn,Kathleen Flinn
http://dbpedia.org/resource/Kevin_C._Fitzpatrick,Kevin C. Fitzpatrick
http://dbpedia.org/resource/Kevin_C._Fitzpatrick,Kevin Fitzpatrick
http://dbpedia.org/resource/Larry_Smith_(editor),Larry Smith
http://dbpedia.org/resource/Leah_Bodine_Drake,Leah Bodine Drake
http://dbpedia.org/resource/Leon_Uris,Leon Uris
http://dbpedia.org/resource/Louis_O._Coxe,Louis O. Coxe
http://dbpedia.org/resource/Louis_O._Coxe,Louis Osborne Coxe
http://dbpedia.org/resource/Louise_Nalbandian,Louise Nalbandian
http://dbpedia.org/resource/M._R._Sellars,M. R. Sellars
http://dbpedia.org/resource/Mark_Curtis_(broadcaster),Mark Curtis
http://dbpedia.org/resource/Mark_Jacobs_(author),Mark Jacobs
http://dbpedia.org/resource/Mark_Poirier,Mark Poirier
http://dbpedia.org/resource/Mike_Adams_(columnist),Mike Adams
http://dbpedia.org/resource/Norman_Podhoretz,Norman Podhoretz
http://dbpedia.org/resource/Normand_Poirier,Normand Poirier
http://dbpedia.org/resource/Patrick_Maher_(writer),Patrick Maher
http://dbpedia.org/resource/Paul_Foster_(playwright),Paul Foster
http://dbpedia.org/resource/Paul_G._Tremblay,Paul G. Tremblay
http://dbpedia.org/resource/Peter_Matthiessen,Peter Matthiessen
http://dbpedia.org/resource/Philip_Lee_Williams,Philip Lee Williams
http://dbpedia.org/resource/Philip_Levine_(poet),Philip Levine
http://dbpedia.org/resource/Phillip_Margolin,Phillip Margolin
http://dbpedia.org/resource/R._Foster_Winans,Foster Winans
http://dbpedia.org/resource/R._Foster_Winans,R. Foster Winans
http://dbpedia.org/resource/René_Marqués,René Marqués
http://dbpedia.org/resource/Rian_James,Rian James
http://dbpedia.org/resource/Richard_Nelson_(author),Richard Nelson
http://dbpedia.org/resource/Robert_E._Quirk,Robert E. Quirk
http://dbpedia.org/resource/Roderick_Thorp,Roderick Thorp
http://dbpedia.org/resource/Roland_Kibbee,Roland Kibbee
http://dbpedia.org/resource/Ruth_Glick,Ruth Glick
http://dbpedia.org/resource/Ruth_Glick,Ruth Day Burtnick Glick
http://dbpedia.org/resource/Stanley_G._Weinbaum,Stanley G. Weinbaum
http://dbpedia.org/resource/Stanley_Weintraub,Stanley Weintraub
http://dbpedia.org/resource/Steven_Plaut,Steven Plaut
http://dbpedia.org/resource/Tana_Hoban,Tana Hoban
http://dbpedia.org/resource/Theodore_Taylor_(author),Theodore Taylor
http://dbpedia.org/resource/Thomas_Williams_(writer),Thomas Williams
http://dbpedia.org/resource/Tomás_Rivera,Tomás Rivera
http://dbpedia.org/resource/Victor_Hernández_Cruz,Victor Hernández Cruz
http://dbpedia.org/resource/William_Carpenter_(writer),William Carpenter
http://dbpedia.org/resource/William_Matthews_(poet),William Matthews
http://dbpedia.org/resource/Joe_Clifford_Faust,Joe Clifford Faust
http://dbpedia.org/resource/Lisa_McMann,Lisa McMann
http://dbpedia.org/resource/Philipp_Meyer,Philipp Meyer
http://dbpedia.org/resource/Todd_DePastino,Todd DePastino
http://dbpedia.org/resource/Abigail_Pogrebin,Abigail Pogrebin
http://dbpedia.org/resource/Andrew_Ross_Sorkin,Andrew Ross Sorkin
http://dbpedia.org/resource/Barbara_Goldsmith,Barbara Goldsmith
http://dbpedia.org/resource/Barbara_Wiedemann,Barbara Wiedemann
http://dbpedia.org/resource/Benjamin_Alire_Sáenz,Benjamin Alire Sáenz
http://dbpedia.org/resource/Benjamin_Saltman,Benjamin Saltman
http://dbpedia.org/resource/Bill_Ransom,Bill Ransom
http://dbpedia.org/resource/Brent_Weeks,Brent Weeks
http://dbpedia.org/resource/Brian_Lindstrom,Brian Lindstrom
http://dbpedia.org/resource/Bruce_Branit,Bruce Branit
http://dbpedia.org/resource/Cindy_Rodriguez,Cindy Rodriguez
http://dbpedia.org/resource/Cindy_Rodriguez,Cindy Rodríguez
